영화명,관객수,스크린수,개봉일,개봉월,요일,상영횟수,국적,배급사등급,상영등급
베테랑,13414200,1115,2015-08-05,8,수,199240,1,B,3
암살,12706388,1519,2015-07-22,7,수,175209,1,A,3
부산행,11565827,1788,2016-07-20,7,수,151325,1,B,3
캡틴 아메리카: 시빌 워,8677249,1991,2016-04-27,4,수,161696,2,B,2
공조,7817446,1392,2017-01-18,1,수,142984,1,B,3
밀정,7500457,1444,2016-09-07,9,수,138162,1,C,3
마스터,7150541,1501,2016-12-21,12,수,126925,1,B,3
럭키,6975290,1234,2016-10-13,10,목,155981,1,A,3
미션 임파서블: 로그네이션,6126488,1202,2015-07-30,7,목,89683,2,B,3
닥터 스트레인지,5446379,1503,2016-10-26,10,수,162863,2,B,2
마션,4881865,1132,2015-10-08,10,목,114225,2,C,2
분노의 질주: 더 익스트림,3653238,1469,2017-04-12,4,수,113241,2,C,3
미이라,3628949,1257,2017-06-06,6,화,101409,2,C,3
인턴,3611166,659,2015-09-24,9,목,81589,2,C,2
데드풀,3317196,1036,2016-02-17,2,수,82521,2,C,4
스타워즈: 깨어난 포스,3273879,940,2015-12-17,12,목,69226,2,B,2
터미네이터 제니시스,3240370,1113,2015-07-02,7,목,77588,2,B,3
캐리비안의 해적: 죽은 자는 말이 없다,3045449,1357,2017-05-24,5,수,85032,2,B,2
형,2982142,993,2016-11-23,11,수,83588,1,B,2
엑스맨: 아포칼립스,2938818,1262,2016-05-25,5,수,66471,2,C,2
앤트맨,2841795,949,2015-09-03,9,목,74649,2,B,2
메이즈 러너: 스코치 트라이얼,2744413,804,2015-09-16,9,수,58725,2,C,2
가디언즈 오브 갤럭시 VOL. 2,2735721,1218,2017-05-03,5,수,63789,2,B,2
탐정 : 더 비기닝,2625686,764,2015-09-24,9,목,54995,1,B,3
제이슨 본,2611966,827,2016-07-27,7,수,39806,2,C,3
배트맨 대 슈퍼맨: 저스티스의 시작,2256913,1709,2016-03-24,3,목,95669,2,C,2
로건,2169109,954,2017-03-01,3,수,68709,2,C,4
원더 우먼,2153152,1034,2017-05-31,5,수,57172,2,C,2
트랜스포머: 최후의 기사,2125953,1739,2017-06-21,6,수,64793,2,B,2
굿바이 싱글,2108273,841,2016-06-29,6,수,56381,1,A,3
수어사이드 스쿼드,1898220,823,2016-08-03,8,수,29512,2,C,3
007 스펙터,1820842,1105,2015-11-11,11,수,51941,3,C,3
콩: 스컬 아일랜드,1689717,984,2017-03-08,3,수,56425,2,C,2
임금님의 사건수첩,1634403,1054,2017-04-26,4,수,53000,1,B,2
인디펜던스 데이 : 리써전스,1500830,926,2016-06-22,6,수,47432,2,C,2
악녀,1177875,685,2017-06-08,6,목,43397,1,B,4
워크래프트: 전쟁의 서막,1163274,736,2016-06-09,6,목,34087,2,C,2
